Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206,1,1µF-10µF,
D1,LED_1206,1,LED,
J2,TerminalBlock_OnShore_1x02_P3.50mm_Horizontal,1,Screw_Terminal_01x02_P3.5mm,
J4,PinHeader_1x01_P2.54mm_Horizontal_SMD,1,Conn_PinHeader_1x01_P2.54mm_Horizontal_SMD,
P1,Conn_USB_A_Plug,1,Conn_USB_A_Plug,
R1,R_1206,1,2.2k,
"R2, R5",R_1206,2,10k,
"R3, R4",R_1206,2,1k,
R6,R_1206,1,47k,
R7,R_1206,1,4.7k,
RV1,Potentiometer_TT_Model-23_4.5x5.0x3.0mm,1,R_POT_10K_Trimmer,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny412-SS,
U3,SOT-23-3,1,lm3480-3.3,
